
name ,dg interest,condition,cleansing,bubbly,hardness,longevity,stability,sap,lauric,linoleic,linolenic,myristic,oleic,palmitic,ricinoleic,stearic,id,docosenoid,eicosenoic,capric,erucic,iodine,caprylic,saturated,mono-unsaturated %,poly-unsaturated %,ins,docosadienoic
"Cherry Kern2 Oil, p. cerasus",,90,0,0,9,9,9,0.192,0,40,0,0,50,6,0,3,27,0,0,0,0,,0,9,50,40,74,0
"Coffee Bean Oil, green",,50,0,0,46,46,46,0.185,0,39,2,0,9,38,0,8,33,0,0,0,0,,0,46,9,39,100,0
"Coffee Bean Oil, roasted",,48,0,0,40,40,40,0.18,0,38,2,0,8,40,0,0,34,0,0,0,0,,0,40,8,38,93,0
Cohune Oil,,21,64,64,75,11,11,0.205,51,3,0,13,18,8,0,3,35,0,0,0,0,,0,75,18,3,175,0
Corn Oil,,84,0,0,14,14,14,0.192,0,51,1,0,32,12,0,2,36,0,0,0,0,,0,14,32,51,69,0
Cottonseed Oil,,71,0,0,26,26,26,0.194,0,52,1,0,18,13,0,13,37,0,0,0,0,,0,26,18,52,89,0
Cranberry Seed Oil,,92,0,0,8,8,8,0.19,0,37,32,0,23,6,0,2,38,0,0,0,0,,0,8,23,37,40,0
"Crisco, new w/palm",,74,0,0,25,25,25,0.193,0,40,6,0,28,20,0,5,39,0,0,0,0,,0,25,28,40,82,0
Cupuacu Butter,,44,0,0,43,43,43,0.192,0,2,0,0,42,8,0,35,41,0,0,0,0,,0,43,42,2,153,0
"Duck Fat, flesh and skin",,58,1,1,36,35,35,0.194,0,13,1,1,44,26,0,9,42,0,0,0,0,,0,36,44,13,122,0
Emu Oil,,55,0,0,32,32,32,0.19,0,8,0,0,47,23,0,9,43,0,0,0,0,,0,32,47,8,128,0
Evening Primrose Oil,,89,0,0,0,0,0,0.19,0,80,9,0,0,0,0,0,44,0,0,0,0,,0,0,0,80,30,0
"Flax Oil, linseed",,90,0,0,9,9,9,0.19,0,13,50,0,27,6,0,3,45,0,0,0,0,,0,9,27,13,-6,0
"Ghee, any bovine",,22,15,15,55,40,40,0.227,4,2,1,11,19,28,0,12,46,0,0,0,0,,0,55,19,2,191,0
Goose Fat,,64,0,0,27,27,27,0.192,0,10,0,0,54,21,0,6,47,0,0,0,0,,0,27,54,10,130,0
Grapeseed Oil,,88,0,0,12,12,12,0.181,0,68,0,0,20,8,0,4,48,0,0,0,0,,0,12,20,68,66,0
Hazelnut Oil,,85,0,0,8,8,8,0.195,0,10,0,0,75,5,0,3,49,0,0,0,0,,0,8,75,10,94,0
Hemp Oil,,90,0,0,8,8,8,0.193,0,57,21,0,12,6,0,2,50,0,0,0,0,,0,8,12,57,39,0
Horse Oil,,49,3,3,34,31,31,0.196,0,20,19,3,10,26,0,5,51,0,0,0,0,,0,34,10,20,117,0
Illipe Butter,,35,0,0,62,62,62,0.185,0,0,0,0,35,17,0,45,52,0,0,0,0,,0,62,35,0,152,0
Japan Wax,,4,1,1,88,87,87,0.215,0,0,0,1,4,80,0,7,53,0,0,0,0,,0,88,4,0,204,0
"Jatropha Oil, soapnut seed oil",,78,0,0,16,16,16,0.193,0,34,0,0,44,9,0,7,54,0,0,0,0,,0,16,44,34,91,0
Jojoba Oil (a Liquid Wax Ester),,12,0,0,0,0,0,0.092,0,0,0,0,12,0,0,0,55,0,0,0,0,,0,0,12,0,11,0
Karanja Oil,,73,0,0,12,12,12,0.183,0,15,0,0,58,6,0,6,56,0,0,0,0,,0,12,58,15,98,0
Kokum Butter,,37,0,0,60,60,60,0.19,0,1,0,0,36,4,0,56,57,0,0,0,0,,0,60,36,1,155,0
Kpangnan Butter,,50,0,0,50,50,50,0.191,0,1,0,0,49,6,0,44,58,0,0,0,0,,0,50,49,1,149,0
Kukui nut Oil,,91,0,0,8,8,8,0.189,0,42,29,0,20,6,0,2,59,0,0,0,0,,0,8,20,42,24,0
Lanolin liquid Wax,,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,60,0,0,0,0,,0,0,0,0,83,0
Laurel Fruit Oil,,58,26,26,42,16,16,0.198,25,26,1,1,31,15,0,1,62,0,0,0,0,,0,42,31,26,124,0
Lauric Acid,,0,100,100,100,0,0,0.28,99,0,0,1,0,0,0,0,63,0,0,0,0,,0,100,0,0,280,0
"Linseed Oil, flax",,90,0,0,9,9,9,0.19,0,13,50,0,27,6,0,3,64,0,0,0,0,,0,9,27,13,-6,0
"Loofa Seed Oil, Luffa cylinderica",,77,0,0,27,27,27,0.187,0,47,0,0,30,9,0,18,65,0,0,0,0,,0,27,30,47,79,0
Macadamia Nut Butter,,60,1,1,19,18,18,0.188,0,3,1,1,56,6,0,12,66,0,0,0,0,,0,19,56,3,118,0
Macadamia Nut Oil,,61,0,0,14,14,14,0.195,0,2,0,0,59,9,0,5,67,0,0,0,0,,0,14,59,2,119,0
"Mafura Butter, Trichilia emetica",,61,1,1,41,40,40,0.198,0,11,1,1,49,37,0,3,68,0,0,0,0,,0,41,49,11,132,0
Mango Seed Butter,,48,0,0,49,49,49,0.191,0,3,0,0,45,7,0,42,69,0,0,0,0,,0,49,45,3,146,0
Mango Seed Oil,,61,0,0,35,35,35,0.19,0,8,1,0,52,8,0,27,70,0,0,0,0,,0,35,52,8,130,0
Marula Oil,,79,0,0,18,18,18,0.192,0,4,0,0,75,11,0,7,71,0,0,0,0,,0,18,75,4,119,0
Meadowfoam Oil,,95,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0,72,16,61,0,0,,0,0,77,18,77,18
"Milk Fat, any bovine",,22,15,15,55,40,40,0.227,4,2,1,11,19,28,0,12,73,0,0,0,0,,0,55,19,2,191,0
Milk Thistle Oil,,90,0,0,9,9,9,0.196,0,64,0,0,26,7,0,2,74,0,0,0,0,,0,9,26,64,81,0
Mink Oil,,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,75,0,0,0,0,,0,0,0,0,141,0
Monoi de Tahiti Oil,,2,60,60,73,13,13,0.255,44,2,0,16,0,10,0,3,76,0,0,0,0,,0,73,0,2,246,0
Moringa Oil,,73,0,0,14,14,14,0.192,0,2,0,0,71,7,0,7,77,0,0,0,0,,0,14,71,2,124,0
Mowrah Butter,,51,0,0,46,46,46,0.194,0,15,0,0,36,24,0,22,78,0,0,0,0,,0,46,36,15,132,0
Murumuru Butter,,18,73,73,82,9,9,0.275,47,3,0,26,15,6,0,3,79,0,0,0,0,,0,82,15,3,250,0
"Mustard Oil, kachi ghani",,41,0,0,4,4,4,0.173,0,14,9,0,18,2,0,2,80,0,0,0,0,,0,4,18,14,72,0
Myristic Acid,,0,99,99,99,0,0,0.247,0,0,0,99,0,0,0,0,81,0,0,0,0,,0,99,0,0,246,0
Neatsfoot Oil,,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,82,0,0,0,0,,0,0,0,0,90,0
Neem Seed Oil,,58,2,2,39,37,37,0.193,0,12,0,2,46,21,0,16,83,0,0,0,0,,0,39,46,12,121,0
Nutmeg Butter,,5,86,86,90,4,4,0.1624,3,0,0,83,5,4,0,0,84,0,0,0,0,,0,90,5,0,116,0
Oat Oil,,79,0,0,17,17,17,0.19,0,39,0,0,40,15,0,2,85,0,0,0,0,,0,17,40,39,86,0
Oleic Acid,,99,0,0,0,0,0,0.202,0,0,0,0,99,0,0,0,86,0,0,0,0,,0,0,99,0,110,0
Olive Oil pomace,,83,0,0,17,17,17,0.188,0,12,2,0,69,14,0,3,88,0,0,0,0,,0,17,69,12,104,0
Ostrich Oil,,57,4,4,36,32,32,0.1946,3,17,3,1,37,26,0,6,89,0,0,0,0,,0,36,37,17,128,0
"Palm Kernel Oil Flakes, hydrogenated",,4,66,66,90,24,24,0.247,49,0,0,17,4,8,0,16,91,0,0,0,0,,0,90,4,0,227,0
Palm Stearin,,33,2,2,67,65,65,0.199,0,7,0,2,26,60,0,5,93,0,0,0,0,,0,67,26,7,151,0
Palmitic Acid,,0,0,0,98,98,98,0.215,0,0,0,0,0,98,0,0,94,0,0,0,0,,0,98,0,0,213,0
Palmolein,,54,1,1,46,45,45,0.2,0,11,0,1,43,40,0,5,95,0,0,0,0,,0,46,43,11,142,0
"Papaya seed oil, Carica papaya",,79,0,0,18,18,18,0.158,0,3,0,0,76,13,0,5,96,0,0,0,0,,0,18,76,3,91,0
Passion Fruit Seed Oil,,86,0,0,13,13,13,0.183,0,70,1,0,15,10,0,3,97,0,0,0,0,,0,13,15,70,47,0
Pataua (Patawa) Oil,,82,0,0,17,17,17,0.2,0,3,1,0,78,13,0,4,98,0,0,0,0,,0,17,78,3,123,0
Peach Kernel Oil,,91,0,0,8,8,8,0.191,0,25,1,0,65,6,0,2,99,0,0,0,0,,0,8,65,25,87,0
Pecan Oil,,91,0,0,9,9,9,0.19,0,39,2,0,50,7,0,2,101,0,0,0,0,,0,9,50,39,77,0
Perilla Seed Oil,,87,0,0,8,8,8,0.19,0,16,56,0,15,6,0,2,102,0,0,0,0,,0,8,15,16,-6,0
"Pine Tar, lye calc only no FA",,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,103,0,0,0,0,,0,0,0,0,0,0
Pistachio Oil,,88,0,0,12,12,12,0.186,0,25,0,0,63,11,0,1,104,0,0,0,0,,0,12,63,25,92,0
Plum Kernel Oil,,91,0,0,3,3,3,0.194,0,23,0,0,68,3,0,0,105,0,0,0,0,,0,3,68,23,96,0
Pomegranate Seed Oil,,92,0,0,6,6,6,0.19,0,7,78,0,7,3,0,3,106,0,0,0,0,,0,6,7,7,168,0
Poppy Seed Oil,,88,0,0,12,12,12,0.194,0,69,2,0,17,10,0,2,107,0,0,0,0,,0,12,17,69,54,0
Pracaxi (Pracachy) Seed Oil - hair conditioner,,48,2,2,6,4,4,0.175,1,2,2,1,44,2,0,2,108,0,0,0,0,,0,6,44,2,107,0
Pumpkin Seed Oil virgin,,83,0,0,19,19,19,0.195,0,50,0,0,33,11,0,8,109,0,0,0,0,,0,19,33,50,67,0
Rabbit Fat,,55,3,3,39,36,36,0.201,0,20,5,3,30,30,0,6,110,0,0,0,0,,0,39,30,20,116,0
"Rapeseed Oil, unrefined canola",,39,0,0,5,5,5,0.175,0,13,9,0,17,4,0,1,111,0,0,0,0,,0,5,17,13,69,0
Raspberry Seed Oil,,94,0,0,3,3,3,0.187,0,55,26,0,13,3,0,0,112,0,0,0,0,,0,3,13,55,24,0
Red Palm Butter,,49,1,1,50,49,49,0.199,0,10,0,1,39,44,0,5,113,0,0,0,0,,0,50,39,10,145,0
Rosehip Oil,,89,0,0,6,6,6,0.187,0,46,31,0,12,4,0,2,115,0,0,0,0,,0,6,12,46,10,0
"Sacha Inchi, Plukenetia volubilis",,93,0,0,7,7,7,0.188,0,35,48,0,10,4,0,3,116,0,0,0,0,,0,7,10,35,47,0
Safflower Oil,,90,0,0,7,7,7,0.192,0,75,0,0,15,7,0,0,117,0,0,0,0,,0,7,15,75,47,0
"Safflower Oil, high oleic",,92,0,0,7,7,7,0.19,0,15,0,0,77,5,0,2,118,0,0,0,0,,0,7,77,15,97,0
Sal Butter,,42,0,0,50,50,50,0.185,0,2,0,0,40,6,0,44,119,0,0,0,0,,0,50,40,2,146,0
Salmon Oil,,69,5,5,27,22,22,0.185,0,2,1,5,23,19,0,3,120,0,20,0,7,,0,27,50,18,16,16
Saw Palmetto Extract,,40,40,40,50,10,10,0.23,29,4,1,11,35,8,0,2,121,0,0,0,0,,0,50,35,4,185,0
Saw Palmetto Oil,,36,42,42,53,11,11,0.22,29,4,1,13,31,9,0,2,122,0,0,0,0,,0,53,31,4,176,0
"Sea Buckthorn Oil, seed",,88,0,0,10,10,10,0.195,0,36,38,0,14,7,0,3,123,0,0,0,0,,0,10,14,36,30,0
"Sea Buckthorn Oil, seed and berry",,38,0,0,31,31,31,0.183,0,10,0,0,28,30,0,1,124,0,0,0,0,,0,31,28,10,97,0
Sesame Oil,,83,0,0,15,15,15,0.188,0,43,0,0,40,10,0,5,125,0,0,0,0,,0,15,40,43,81,0
"SoapQuick, conventional",,56,19,24,39,20,25,0.212,13,8,1,6,42,17,5,3,128,0,0,0,0,,0,39,47,8,153,0
"SoapQuick, organic",,55,18,18,41,23,23,0.213,13,10,0,5,45,20,0,3,129,0,0,0,0,,0,41,45,10,156,0
Stearic Acid,,0,0,0,99,99,99,0.198,0,0,0,0,0,0,0,99,133,0,0,0,0,,0,99,0,0,196,0
Sunflower Oil,,87,0,0,11,11,11,0.189,0,70,1,0,16,7,0,4,134,0,0,0,0,,0,11,16,70,63,0
"Sunflower Oil, high oleic",,88,0,0,7,7,7,0.189,0,4,1,0,83,3,0,4,135,0,0,0,0,,0,7,83,4,106,0
Tallow Bear,,79,2,2,12,10,10,0.1946,0,9,0,2,70,7,0,3,136,0,0,0,0,,0,12,70,9,100,0
Tallow Beef,,40,8,8,58,50,50,0.2,2,3,1,6,36,28,0,22,137,0,0,0,0,,0,58,36,3,147,0
Tallow Deer,,48,1,1,45,44,44,0.193,0,15,3,1,30,20,0,24,138,0,0,0,0,,0,45,30,15,166,0
Tallow Goat,,31,16,16,69,53,53,0.192,5,2,0,11,29,23,0,30,139,0,0,0,0,,0,69,29,2,152,0
Tallow Sheep,,31,14,14,51,37,37,0.194,4,5,0,10,26,24,0,13,140,0,0,0,0,,0,51,26,5,156,0
"Tamanu Oil, kamani",,73,0,0,25,25,25,0.208,0,38,1,0,34,12,0,13,141,0,0,0,0,,0,25,34,38,82,0
Tucuma Seed Butter,,13,71,71,77,6,6,0.238,48,0,0,23,13,6,0,0,142,0,0,0,0,,0,77,13,0,175,0
Ucuuba Butter,,0,92,92,100,8,8,0.205,18,0,0,74,0,8,0,0,143,0,0,0,0,,0,100,0,0,167,0
"Walmart GV Shortening, tallow, palm",,44,5,5,54,49,49,0.198,1,6,1,4,37,35,0,14,144,0,0,0,0,,0,54,37,6,151,0
Walnut Oil,,78,0,0,9,9,9,0.189,0,60,0,0,18,7,0,2,145,0,0,0,0,,0,9,18,60,45,0
Watermelon Seed Oil,,79,0,0,21,21,21,0.19,0,60,1,0,18,11,0,10,146,0,0,0,0,,0,21,18,60,71,0
Wheat Germ Oil,,75,0,0,19,19,19,0.183,0,58,0,0,17,17,0,2,147,0,0,0,0,,0,19,17,58,58,0
"Yangu, cape chestnut",,76,0,0,23,23,23,0.192,0,30,1,0,45,18,0,5,148,0,0,0,0,,0,23,45,30,97,0
"Zapote seed oil, (Aceite de Sapuyul or Mamey)",,65,0,0,30,30,30,0.188,0,13,0,0,52,9,0,21,149,0,0,0,0,,0,30,52,13,116,0
